503,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474063,NaN,Unknown (0),Infinite
504,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474058,NaN,Unknown (0),Infinite
505,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474053,NaN,Unknown (0),Infinite
506,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474048,NaN,Unknown (0),Infinite
507,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474043,NaN,Unknown (0),Infinite
508,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474038,NaN,Unknown (0),Infinite
509,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474033,NaN,Unknown (0),Infinite
510,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474028,NaN,Unknown (0),Infinite
511,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474023,NaN,Unknown (0),Infinite
512,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474018,NaN,Unknown (0),Infinite
513,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474013,NaN,Unknown (0),Infinite
514,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474008,NaN,Unknown (0),Infinite
515,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474003,NaN,Unknown (0),Infinite
516,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147473998,NaN,Unknown (0),Infinite
517,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147473993,NaN,Unknown (0),Infinite
518,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147473988,NaN,Unknown (0),Infinite
519,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147473983,NaN,Unknown (0),Infinite
520,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147473978,NaN,Unknown (0),Infinite
